Label,text
1," Let's get one thing straight, Don Ciccio! I'm waiting ten minutes more, and if you haven't started... you're giving me my money back!!"
1, Well said! Well said! We want our money back!!
0, Easy! Easy! What about my showing you the first part again? Huh?
1," No! First part, my foot! We want to see how the story ends!!"
1, I've seen the whole works! You want me to tell you how it ends?
1," Nooo! No! Shut up, you jerk!!"
0," How are you, honey? You've met Merle, haven't you. He was with me in Vegas."
0, I saw him with you.
0, We're going to Europe next week. I want to get passage booked on the Queen.
1, Why do you come to me? Why don't you go to a travel agent?
0, We're going to get married first.
1," The ink on your divorce isn't dry. Your children see you on weekends; your oldest boy, Michael Francis... was in some trouble with the Reno police over some petty theft that you don't even know about."
0, Michael...
1," You fly around the world with lazy young men who don't have any love for you, and use you like a whore."
1, You're not my father!
1, Then why do you come to me?
1, Because I need MONEY!
1," Connie, I want to be reasonable with you. You have a house here, with us. You can live here with your kids...and you won't be deprived of anything. I don't know much about Merle; I don't know what he does for a living; what he lives on. Why don't you tell him marriage is really out of the question; and that you can't see him any more. He'll understand. But if you disobey me, and marry this pimp...it would disappoint me."
1, It was my father's money; and I'm entitled to what I need. Where is Tom Hagen?
1, Are you finished?
0, I think so.
1, Then out.
1, You were unfair with them.
1, Says who?
1," Clemenza promised Rosato three territories in the Bronx after he died, and then you took over and welched."
1," Clemenza promised them nothing, he hated the sonsuvbitches."
1, They feel cheated.
1," Michael, you're sitting up here in the Sierra Mountains with champagne cocktails making judgment on the way I run my family."
1," Your family still carries the name Corleone, and you will run it like a Corleone!"
1," And while I feed my family in New York, you put the knife in my back in Miami."
1," Frankie, you're a good old man, and you've been loyal to my Father for years...so I hope you can explain what you mean."
1," The Rosatos are running crazy; taking hostages, spitting in my face, because they're backed by the Jew in Miami."
0, I know. That's why I want you to be fair with them.
1, Why not paint him pink and cover him with sequins?
1, Pardon?!
1, If you wish to call attention to his anxiety.
1, Does your bodyguard know to whom he's speaking? He certainly doesn't know his place!
0," Doctor Lionel Logue, my speech therapist."
1, Therapist?! I'd no idea! Had I known Your Majesty was seeking assistance I would've made my own recommendation.
0, Dr. Logue is to be present at the Coronation.
1, Impossibly to find room. Even for a Doctor.
0, Just Lionel.
0, Behind the chair of Edward the Confessor.
1, The Royal Box!? Your Family will be seated there.
1, Which makes it most suitable.
0, Perhaps I might be able to add a very small stool.
0, Two comfortable chairs. One for Madam Logue. She's a close friend of my wife. The Queen.
0, I'll have someone attend to it.
0," And now, if you don't mind, we need the premises."
1," My dear fellow, this is Westminster Abbey! The Church must make preparations."
1, So must Bertie.
1, Bertie?! We do not call the King: Bertie!
1, I do. During waking hours we'll need the facilities. It'll be a closed set. No observers.
0," Those are my wishes, Your Grace."
1, You've made a dangerous enemy.
1, Wouldn't want him as a friend.
0, And don't ever call me Bertie in public.
0, Tell me...
0, I sense one of your dreadful questions on the horizon.
0, Do you really want to be King?
0, Knew it! I haven't any choice.
0," You can be a wounded King who stumbles through his Coronation. Or, as the Arch of C so archly suggests, no Coronation at all. Always a choice."
1," What's this, you wait til Westminster Abbey, then ambush me?"
0, I'm simply asking questions... which you seem unable to answer.
1, I'm a sacrificial lamb being led to slaughter! Damn you!
0, Quite possibly. But at least I know what I want. You haven't the foggiest.
0," Lawrence, can't you just pretend like we can't hear each other through the wall?"
0," Oh! I'm sorry man, is Anne over there or something?"
0," No! But if you just want to talk to me, just come over."
0," Hey man. Check this out, dude."
0," Oh geez, Lawrence."
0," I'm sorry, man. I thought you'd wanna see this. Doesn't this chick look like Anne?"
0," Yeah, a little bit."
0," Hey, she hasn't been over here in a while. You two still going out?"
0," I guess, yeah. I, I don't know. Sometimes I get the feeling that she's cheating on me."
1," Yeah, I get that feeling too, man."
1, What do you mean by that?
1," I don't know , man, I just get that feeling looking at her, like - I'm sorry, man. Look, I, I, I, I, I, I'm talking out of my ass. I don't know."
0, It's ok. I just had a rough day.
0," Tell me about it, man. I gotta wake my ass up at six AM every day of this week and drag myself up to Vascalinas. Yeah, I'm doing the drywall up there at the new McDonalds."
0," Let me ask you something. When you come in on Mondays, and you're not feeling too well, does anybody ever come up to you and say sounds like someone's got a case of the Mondays?"
0," No. No, man, shit, no, man. I believe you get your ass kicked for sayin' something like that, man."
0, Huh.
0, We still going fishing this weekend?
0, Nah. Lumbergh's gonna make me come in this Saturday. I know it.
0," Well, you can get out of that easily."
0," Yeah, how?"
0," Well, when you work on an Saturday, he generally asks you at the end of the day, right? So all you have to do is avoid him ? That's all right, i got one ? The last few hours of the day. And turn off your answering machine, you should be home free then."
0," That's a really good idea. Lawrence, what would you do if you had a million dollars?"
0," I'll tell you what I'll do, man--Two chicks at the same time."
0," That's it? If you had a million dollars, that's what you'd do, two chicks at the same time?"
0," Damn straight, man. I've always wanted to do that. I figure if I were a millionaire, I could hook that up. Chicks dig guys with money."
0, Well not all chicks?.
0," Well, the type that double up on a guy like me do."
0, Good point.
0, Besides two chicks at the same time?
0, Oh yeah.
0, Nothing.
0," Nothing, huh?"
0," I would relax, I would sit on my ass all day, I would do nothing."
0," You don't need a million dollars to do nothing, man. Take a look at my cousin. He's broke and don't do shit."
1," ...North Koreans have gone ballistic, accusing us of botching the ransom drop on purpose."
1, They're still harping on that American plot nonsense.
0, Meaning?
1, They say the death of the Premier's niece and her family would justify immediate retaliation.
1, Are they out of their fuckin' minds?! What kind of retaliation?
1, They're threatening to pull a Saddam Hussein: remember the Scuds he lobbed at Jerusalem during Desert Storm? They're talking about firing a missile into Los Angeles --
1, -- A goddamn WHAT??
0," Best guess is an AS-15, medium-range cruise -- their version of our Tomahawk, launched from offshore."
0," The AS-15 is gyro-guided. It will find the city, but it's not too accurate beyond that."
0," Still, for their purposes it's perfect: Hit somewhere in L.A., take out a city block or two..."
1, To the eyes of the world it's a measured response -- like what Reagan did to Qaddafi. But actually striking at an American city would be a huge psychological victory for them.
1," I don't believe I'm hearing this! So if we know it's coming, we can knock it out of the fuckin' sky!"
1," These weapons fly subsonically, below radar... we don't have the defenses in place... If we'd had the time to deploy a string of Patriot anti- missile batteries across the coast --"
0, -- You're saying we got all this lousy hardware and can't stop one goddamn missile??
0, I want an immediate search for all ships within range.
0," We better inform the other leaders, stall on the Summit --"
1, There's no reason to panic yet -- they can't launch until after the family's confirmed dead!
1, Afraid that's not the case...
0," The North Korean Premier holds what we call a Brinksman Switch. He's able to destroy a missile in flight, right up to the moment before it achieves its target."
0, Our Op says they've timed their retaliation to hit right after 5:00.
0," And if the family turns up okay, they'll just make it self-destruct."
1, Shit! I really don't need this today!
0, We're forgetting one thing here: the family. Intelligence is sure the North will abort their attack if Mrs. Han and her kids are safely returned?
0, Absolutely. Their whole game depends on claiming a legitimate provocation.
0," Still, we should let them know there'd be a response... if it comes to it."
0, I'd like to turn 'em into a radioactive parking lot.
1," That's the problem: we can't. We're the last superpower. Our hands are tied by politics, alliances, goddamn stacks of treaties... most we could do is give 'em a measured response back again, or everyone starts crying that we're the bullies."
1," Damn, I miss the Cold War. Russians wouldn't have dreamt of pulling a stunt like this."
1," Believe me, the North drops one in my fuckin' city, I'm dropping ten in theirs. Get some bombers in the air. And don't tell me any more bad news!"
0, Miranda was starting to see the upside of Alzheimer's.
0, Wedding crunch time. We need to really get serious here.
1, Not now -- I just got an email from the the contractor -- they pushed our move-in date again -- and I have to --
0, Nope. Wedding before contractor. Unless you're planning to invite him -- which would make the guest list two hundred and one.
1," Two hundred? Jesus, Carrie -- it's gone up again?"
0, Blame the New York Post and Vogue. Two publications that have never before been uttered in the same sentence.
1, You said: seventy-five people in a partitioned-off room.
1, It's the dress. How can I explain this? It's like poker -- The dress upped the ante.
1, Change the dress.
1," No, no, no -- you haven't seen this dress. This dress may be the whole reason to get married. Well, you and the dress."
0," How are you coming with your vows? Just a reminder -- you are going to be saying these in front of a lot of people, so the pressure is on."
0," Up, up. I have to finish this. Up."
0, Hey...
1, I don't have time for this.
1, This is our wedding and you're not taking it seriously.
1," No, I'm not -- It's a circus! Two hundred people -- Page Six -- This is my third marriage -- how do you think it makes me look?"
1, I didn't know that was even an issue. Why didn't you say anything sooner?
1, You wanted all this.
1, But -- don't you want --
0," I want you, Carrie. That's what I want. I would have just gone down to city hall."
0, I think it's too late for city hall now.
0," Well, no. I wasn't suggesting -- I was just saying."
0, See. That is the face I've been trying to avoid. Come here.
0, You're a great man friend.
0, I have Markinson.
0, Where is he?
0, A motel room in Arlington with 14 Federal Marshals outside his door. Take a sip of your drink.
0, Damn.
1," The transfer order that Parkinson signed is phoney. And Jessep's statement that the six a.m. flight was the first available is a lie, we're checking the tower chief's log. But in the meantime I'm gonna put the Apostle Jon Kendrick on the stand and see if we can't have a little fun."
1," I have an obligation to tell you that if you accuse Kendrick or Jessep of any crime without proper evidence, you'll be subject to Court-Martial for professional misconduct. And that's something that'll be stapled to every job application you ever fill out. Markinson's not gonna hold up, he's a crazy man. I'm not saying this to intimidate you. I'm being your lawyer."
1," Thanks, Jack. And I wanna tell you that I think the whole fuckin' bunch of you are certifiably insane. And this code of honor of yours makes me wanna beat the shit outta something."
1," Don't you dare lump me in with Jessep and Markinson and Kendrick because we wear the same uniform. I'm your friend, Danny, and I'm telling you, I don't think your clients belong in jail. But I don't get to make that decision. I represent the Government of the United States. Without passion or prejudice. And my client has a case. I want you to acknowledge that the judge advocate has made you aware of the possible consequences involved in accusing a marine officer of a felony without proper evidence."
0, I've been so advised.
1," You got bullied into that courtroom, Danny. By everyone. By Dawson, by Galloway, shit, I practically dared you. Not for a second have you believed you could win. You got bullied into that room by the memory of a dead lawyer."
1," You're a lousy softball player, Jack."
0, Your boys are going down. I can't stop it anymore.
0," Batter up, J.J."
0," Lt. Kendrick, in your opinion, was Private Santiago a good marine?"
0, I'd say he was about average.
0, What if we're still doing this when we're 50?
0, It could be nice to have that kind of job security.
0," Lumbergh's gonna have me work on Saturday, I, I can tell already. I'm doing it because, because, uh, I'm a big pussy. Which is why I work at Initech to begin with."
0," Uh, I work at Initech and I don't consider myself a pussy, ok?"
0," Yes, I am also not a pussy."
0, I'm gonna find out the hard way that I'm not a pussy if they don't start treating us software people better.
0, That's right.
0, They don't understand. I could come up with a program that could rip that place off big time big time.
0, Yeah.
0," Oh, there she is."
0," Peter, you, you always talk about this girl. If you're so obsessed with her, why don't you just ask her out?"
0," Because I'm just another asshole customer. You can't just walk up to a waitress and ask her out. Plus, I'm still trying to work it out with Anne. Oh, that reminds me. I'm not going to be able to play poker with you guys on Friday."
0, Why not?
0," Uh, I have to see this occupational hypnotherapist with Anne."
0, Dude! An occupational hypnotherapist?!
0," Anne wants me to go. She thinks it might help. Y'know, sometimes I just think, I keep thinking that she's cheating on me."
0, Yeah. I know what you mean.
0, Yeah.
0, What is that supposed to mean?
1, Nothing. Why don't you just tell Anne you're not into hypnosis and you want to play poker with us?
0," Ah, I can't do that. She might get all pissed off at me. Besides, I think the guy might be able to help. He did help Anne lose weight."
0," Peter, she's anorexic."
0," Yeah, I know. The guy's really good."
0," An occupational hypnotherapist isn't going to help you solve any of your problems. And speaking of problems, what's this I hear about you having problems with your TPS reports?"
0, Yeah. Didn't you get that memo?
0, We got one of the best sound guys right here in town... Newman in Audio Analysis...
0, Newman's gone.
0," He quit, couple weeks ago. Opened a bed and breakfast in Wyoming."
0, Damn... they get HBO? I'd sure like to see the fight tonight.
0," Get those tapes transferred to a sound guy. We need ambient and background analysis, the whole enchilada."
1, Enchilada -- you saying that because I'm Mexican?
0, No... 'cause you're fat.
0, Photo enhancement... Isn't there some amazing tech with the LAPD --
0, -- Bronsky. Transferred to Seattle PD a month ago.
0, Jesus H. Christ...
0, I'd send it to Langley. Let the CIA earn their keep.
0, Do it.
0," Given his behavior, this orange residue... I'd say Desoxyn, 25 mg. Amphetamines."
0, Any significance?
0," It's consistent with the lone wolf scenario: A handful of these is pure bravery-in-a-bottle, 'til the psychosis and paranoia kick in. We could check pharmacy records, on the remote chance he got them legally... if we had a couple of weeks, that is."
0, Get the Bureau on it.
0, Forget it. It's a waste of manpower.
1," Look, goddammit, you start skipping no-chance-in-hell leads, we can all quit and go to the beach right now."
0, He grabbed the family at 8:30. The last certain visual we had was just before his van went into the alley on La Cienega at 8:42. He called the Consulate at 9:30.
0," That gives him about fifty minutes to get to his location, move and secure the hostages, and activate his time bomb."
0," He probably waited a while to pad the time -- he wanted us know the family was still alive... ...So these crazy bastards wouldn't throw a premature shit hemorrhage, but he didn't want to call too soon, either. I say they're within 15 to 20 minutes, via surface streets, of where we last saw them."
0," The most densely-populated part of the L.A. basin. This narrows it down to about 200,000 dwellings."
0, He was traveling west --
0, -- Bet he doubled back.
1," C'mon, that's total conjecture --"
0, -- I'd trust his instincts when dealing with maniacs. He is deeply disturbed.
1, You're telling me?
0, What's the matter? Steve.
0, -- I had sex with someone else.
0, -- And you are so amazing with Ma and everything... everything you do and I can't believe I would do that to you.
1, You and I hadn't had sex in a really long time and I --
1, It didn't mean anything -- It was just once... and it's been killing me.
1, It's killing you?!
0, It just happened... I wasn't thinking.
1, Do not follow me.
0, Hi.
0, Surprise -- Here we are!
0," Well, I'm so excited you are here for a sleepover."
0, We are too. Aren't we B-boy?
0, Here. Mommy has to go to the bathroom.
0," Brady, do you want to go have some peanut butter?"
0, Peanut butter it is.
0, Apparently you don't have sex for six months he runs out and has it with some girl at his bar.
0, Steve. I can't believe it. Steve.
0," Steve. When I think of everything I've done for him. And this is how he repays me. Man, if I didn't have Brady, I would never go back there."
0," The next night, for the sake of Brady, Miranda went against her instincts and went home."
0," Miranda, it's still me."
1, Is it?
0, So Miranda left Brooklyn and came home... to Manhattan.
0," Yes, it's sad, but I'm not going to make it any sadder by staying at a bad hotel while I look for a place. Pass the salt."
0," Plus, I have to be downtown and close to Brooklyn. We're going to keep things as normal for Brady as we can. I'll pick him up on my days... take him over on Steve's."
0, I don't know if this question is allowed -- but how is Steve handling this?
0, Says he's devastated -- begs me to forgive him. Not going to happen. I can barely even look at him.
0, Steve -- I can't believe it.
0, That's what I said.
1, Jesus fucking Christ!!--
0, You left the door unlocked.
1, Scared the shit outta me.
0, Drive.
1, Are you aware you're under subpoena?
0," Yes. I'm also aware that the lives of two marines are in your hands. If there was something I could do about that, I would, but since I can't, all I can do is help you. Why don't you drive, Lieutenant."
0, What do you know?
0, I know everything.
0, Was it a code red?
0, Yes.
0, Did Kendrick give the order?
0, Yes.
0, Did you witness it?
0, I didn't need to --
1, Did you witness it?!
0, No.
1, Then how do you know?
0, I know.
1, You know shit.
0, He was never gonna be transferred off the base.
0, Jessep was going to keep him on the base. He said he wanted him trained.
0, We've got the transfer order. It's got your signature.
0, I know. I signed it the morning you arrived in Cuba. Six days after Santiago died.
0," I'm gonna get you a deal. Some kind of immunity with the prosecutor. In about four days, you're gonna appear as a witness for the defense, and you're gonna tell the court exactly what you told me. Right now I'm gonna check you into a motel, and we're gonna start from the beginning."
1, I don't want a deal. And I don't want immunity.
1," I want you to know, I'm proud neither of what I've done nor what I'm doing."
0, How many people go here?
0, Couple thousand. Most of them evil
0," We've got your basic beautiful people. Unless they talk to you first, don't bother."
0, Those 're your cowboys.
0, That I'm used to.
0," Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood."
0," To the right, we have the Coffee Kids. Very edgy.  Don't make any sudden movements around them."
0, And these delusionals are the White Rastae.
0," Big Marley fans.  Think they're black. Semi-political, but mostly, they watch a lot of Wild Kingdom, if you know what I mean."
0," Derek - save some for after lunch, bub?"
0," Michael, my brother, peace"
0, So where do you fit in all this?
0," Future MBAs-  We're all Ivy League, already accepted.  Someday I'll be sipping Merlot while those guys --"
0," are fixing my Saab.  Yuppie greed is back, my friend."
0, That girl -- I --
1," You burn, you pine, you perish?"
0, Who is she?
1, Bianca Stratford.  Sophomore. Don't even think about it
0, Why not?
1," I could start with your haircut, but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility."
0," Father, I am doing what I think is the best for him.  And he has the teacher I would have chosen for myself."
0, Just be careful you don't lose him.
0, I have something for you.
0, You will be heard at the University of Salamanca...
0, God... That's in a week!
0, That's what it says.
0, How did you manage it?
0, With some difficulty.  I had to promise them you were not a total fool.
0, Why do you wish to sail west?
0, To open a new route to Asia.  At the moment there are only two ways of reaching it...
0," By sea, sailing around the African Continent -- the journey takes a year..."
0, Or by land...
0," ... But the Turks have closed this route to all Christians.  Trading with the Orient has become arduous, if not dangerous.  There is a third way..."
0, By sailing West across the Ocean Sea.
1, How can you be so certain?  The Ocean is said to be infinite.
1, Ignorance!  I believe the Indies are no more than 750 leagues west of the Canary Islands.
1, How can you be so certain?
0," The calculations of Toscanelli Marin de Tyr, Esdras..."
1, Esdras is a Jew.
1, So was Christ!
1," Two minutes... and already you're a dead man.  Don't let passion overwhelm you, Colon."
1," I'll try to remember that, Marchena..."
1, Father Marchena!
1, Passion is something one cannot control!
1, You get so carried away when you are being contradicted!
1, I've been contradicted all my life... Eternity!
1," Only God knows the meaning of such words, my son."
0," Next.  Could I see your documents, please?"
0, Yes sir.
0, What is your intended purpose of your visit to the United States?
0, Two weeks holiday.
0, How much money are you carrying with you?
0, I have five-hundred dollars.
1," Can you show me?  Sir, no cameras in the FIS area!"
0, Is he with you?  Are you travelling together?
0, Yes.
0, Please join us.  Come on forward.
0, Is there a problem?
0," No, you're travelling together.  I want to talk to you together.  Hi, how are you?  Can I take a look at your documents?  Are you related?"
0, Yes...he's my friend.
0, Okay.  You're a Czech national and you're a Russian national.  How do you know one another?
0, We are both from Prague.
0, How long are you planning to stay?
0, Two weeks.
0," I'd like to speak for himself, okay?"
0, He doesn't speak English.
1, I speak English.
0, Where to?
0," Follow that limousine.  Don't get too close, don't let it get too far away.  Just keep with it."
1, You kidding?
0, Nope.
1," Uh, listen... you're not supposed to be smoking in here.  I'm sorry, that's company policy..."
0," How about this... every cigarette I smoke, I give you five dollars?"
0," Okay... okay, yeah, that'd be good..."
0, Thank you.
0, Welcome home.
0, Do you know how much I missed you?
1, What's this... have you been smoking... ?
0, Smoking?  I'm not smoking.
1, Your clothing reeks of it.
1," You know, Amy, I've been sitting around in bars and everywhere following this guy... I mean, is this what I get first thing?  Before you even hello, you accuse me... ?"
0, I'm not accusing you...
0," Well, I'm not smoking, okay?"
0," Okay, I believe you."
0, We've been all through that.  I've been on my best behavior.
0, Is that it ?
0," Yeah, I'd say that's it."
0," He has a phone pole sticking in his chest, I think we don't need an autopsy."
0," I'm just looking for our best interests. May I have the tapes, Bruce ?"
1," Doesn't it bother you to see this kind of brutal death ? I mean , I can understand the old man's infatuation with the stuff, but not you."
0," I'm an investment banker. I see blood bathes everyday. Besides, mine is not to question why, min is but to do or die."
1, No one has a gun to your head.
0, Might I suggest going a little easier on them ? It will prolong the end and our benefactor will be more pleased if we could elongate the inevitable.
1," Johnny, let's get the cleanup started."
0," You've got it boss. One more mangled body to the East River, coming up !"
0, I must be going. Gentlemen....
0, So have you seen Simpson ?
0," No, why ?"
0, He missed a meeting this morning. Simpson hasn't missed a meeting in three years.
0, Maybe he had a better offer.
0," It doesn't matter much. There's such an incredible turnover here...  Be careful, major kiss ass approaching."
0, Good morning.
0, Good morning.
0, Did you see what the First Bank stock opened at ? Very impressive.
0," Actually it's down .2 from the last quarters highest, but I think it will pick up."
